year,ref,rcp45_0,rcp45_1,rcp45_2,rcp45_3,rcp45_4,rcp45_5,rcp45_6,rcp45_7,rcp45_8,rcp45_9,rcp45_10,rcp45_11,rcp45_12,rcp45_13,rcp45_14,rcp45_15,rcp45_16,rcp45_17,rcp45_18,rcp45_19,rcp45_20,rcp85_0,rcp85_1,rcp85_2,rcp85_3,rcp85_4,rcp85_5,rcp85_6,rcp85_7,rcp85_8,rcp85_9,rcp85_10,rcp85_11,rcp85_12,rcp85_13,rcp85_14,rcp85_15,rcp85_16,rcp85_17,rcp85_18,rcp85_19,rcp85_20,rcp85_21
1981,0.0,-2.3490974198619483,-1.7746422160240058,-0.036860625098768196,-0.7119280984693432,-3.3709790111985285,-4.646831533411387,-2.413263589614189,-1.5593683750901732,-0.14420751033770784,-3.207857649296841,-1.8247874653732765,-1.814109792700151,-3.5652089195384633,-1.7059474355962152,-3.890558759173075,-1.7315033367052592,-1.316843147230827,-2.556496411806336,-2.7793215681230095,-2.2773248552230143,-3.8640784265206207,-2.3837215957295825,-1.8635235345100796,-0.09749157020706889,-0.744370459352524,-2.498012171776054,-1.6194646877257242,-0.18483851422212183,-3.253670823318771,-1.8950277215293454,-1.9005834820247287,-3.6903450493047103,-1.7823710851700412,-3.979002561924972,-1.832909151060619,-1.3840008911005839,-2.6672755506440353,-2.862329160805473,-2.2824993665420266,-3.9116574115942626,-1.3268897576513154,-0.5109431379879084,-0.8943006401376579
1982,0.0,-2.3738999442922477,-1.8694318205484706,0.1052885262727159,-0.8489152093783332,-3.4163433591447188,-4.5219885242292435,-2.3920907624813026,-1.6601145440600362,-0.15487129420938572,-3.1793030049636855,-1.8075965608829847,-1.8852302874275324,-4.145996765853738,-1.8612726966418336,-3.868563362307441,-1.7008135373962432,-1.3974604844060536,-2.626628337231807,-2.618427703092891,-2.336375202734928,-3.639736008858165,-2.4198346387438505,-1.954585408610285,0.043890041017334624,-0.8767406910396858,-2.4837166307529515,-1.7111098556894717,-0.17950339238973356,-3.2051446250375193,-1.8788701155602894,-1.9768605132123866,-4.245648204839654,-1.9309494627662502,-3.97959699128711,-1.8135051722520643,-1.4568341488842975,-2.713741923887028,-2.702808939455849,-2.3248547355235587,-3.671259421693435,-1.2048530770234152,-0.3865334710819752,-0.7941207158850148
1983,0.0,-2.5869784918797905,-1.8220274995791783,0.01824455128974023,-0.8305692664321214,-3.299780129872431,-4.494835670040459,-2.4773371294889444,-1.671690917061028,-0.1634828806734845,-3.179846877642774,-1.844208716200626,-1.9305171670450818,-3.7508164541314954,-1.699415725092365,-3.6613334316289183,-1.4858845723643412,-1.523572694586278,-2.6837775224594225,-2.7002564972514165,-2.22307125063935,-3.529931535761989,-2.6090642277869165,-1.9051434588321854,-0.04089201129545472,-0.8586936939179282,-2.569193392851389,-1.7233457848490161,-0.19222975746839666,-3.2202993969510203,-1.9283581330632842,-2.0097543045258135,-3.9220696633479974,-1.7841443701527737,-3.77495042155482,-1.6247065225456936,-1.565794149956787,-2.7777904421027984,-2.77596312275989,-2.2169612062698434,-3.5545324219777967,-1.1554287791858542,-0.47759996012433703,-0.8860706291142151
1984,0.0,-2.555943364594782,-1.6737534666341958,0.05002414681382561,-0.8683326487069394,-3.493371208248675,-4.588232580039687,-2.2883311762290646,-1.5921951932486422,-0.1303468588272949,-3.2750357768348977,-1.7974058119597771,-2.0596422257361837,-3.7505648451240745,-1.695128062426079,-3.4146272502966326,-1.5025546698016115,-1.285231024271809,-2.5707030819297643,-2.762920261625709,-2.1905866019050677,-3.5565650460313236,-2.582231744272633,-1.8051370838144294,-0.016342227168877344,-0.8958711554684555,-2.404492758382105,-1.6618775951214388,-0.1838627856696462,-3.296741937088484,-1.8614245728326182,-2.11177841540848,-3.8904493716624984,-1.7680574372973865,-3.5704204421649024,-1.6372138223661636,-1.3485887268431611,-2.6792719859313365,-2.879184921254705,-2.202223772814591,-3.568666691903843,-1.3152903096074056,-0.5424182618947953,-0.7625948600473862
1985,0.0,-2.5576721319648072,-1.9730416024204942,0.1749875941644632,-0.8329948769268753,-3.51706592873893,-4.358486436118312,-2.387760944652541,-1.5730411481480928,-0.2184937023226894,-3.248744017990191,-1.7904762215417236,-1.9984774516162247,-4.109067005165002,-1.7447756447483016,-3.8760995368847944,-1.7674380994384364,-1.41418404634328,-2.486897346003275,-2.3227501619156783,-2.120787325668232,-3.9097697896826844,-2.5934375499351745,-2.059420606992262,0.10804828024504332,-0.8410232661993291,-2.474796618463131,-1.6423612370473961,-0.24771349446683644,-3.274714728165577,-1.8657276885757028,-2.0490345341257807,-4.219091918195602,-1.8068804783704309,-3.989743185198222,-1.8714309706917334,-1.4604639584468941,-2.6042086469879564,-2.502424826638844,-2.1525782582388615,-3.972004680003579,-1.3709105925683502,-0.5645565134255435,-0.5826184862567629
1986,0.0,-2.667123766686643,-1.7916081918888835,0.10039478403257363,-0.8810166414630203,-3.550273089317386,-4.442688808273772,-2.547733202616257,-1.562557021372811,-0.20841410775017266,-3.1917171422429647,-1.730042957601654,-1.9853546951099474,-3.887427790324125,-1.649300706225688,-3.9001195112422806,-1.3377043241002298,-1.493114335482801,-2.679509758587926,-2.62568430568723,-2.4172620878329667,-3.4823890008836997,-2.686953016498819,-1.8894973412422473,0.035625015162054297,-0.8991575319053595,-2.6349671790337084,-1.6326245553289027,-0.24571300065821333,-3.2340163168507274,-1.814092941964077,-2.047829013284627,-4.0338395185742115,-1.7347725986957698,-4.017579173416777,-1.48743681326539,-1.543988426524436,-2.772298597673853,-2.708391122971534,-2.421320768111684,-3.525564138805123,-1.341459670397228,-0.48565755376210973,-0.7693717551407531
1987,0.0,-2.570135432546863,-1.7319483089992787,0.1556192693271896,-0.7758935199966004,-3.716770685615586,-4.432514084451668,-2.4533344723238315,-1.6459791000244763,-0.1387788294560437,-3.2292615101403044,-1.6867032038238676,-2.3668197187490705,-3.9887875583735877,-1.6283613322179349,-3.6963111669842874,-1.4725135681170514,-1.2967379799426908,-2.5042226327486787,-2.520062209258981,-2.3375908398577963,-3.478044430113016,-2.6002600688682946,-1.8336790307351976,0.11762798107685057,-0.7989538116792119,-2.53252837823203,-1.699726014706755,-0.165844137604779,-3.2624115649854843,-1.7875658519887452,-2.3854002904698746,-4.103231600019171,-1.7164742976619891,-3.815816977077759,-1.615393819022131,-1.3516665896311224,-2.617622875768916,-2.648234533463949,-2.356691369155328,-3.507863006130549,-1.20485150580555,-0.3800698960801583,-0.6893887680640773
1988,0.0,-2.3551145350911042,-1.652444368159422,0.17405777261456024,-0.7614189211315647,-3.547728918443511,-4.46190915840333,-2.3430328951092747,-1.6816196379614325,-0.061929139426922575,-3.1228061087605283,-1.8080986582491505,-2.1987036708167125,-3.8177916131785423,-1.646895698325011,-3.5488866926065157,-1.636714188945973,-1.6621657367429066,-2.352957757844024,-2.7252236431473875,-2.190471268327258,-3.3083299728638735,-2.3728811967390016,-1.788762823849197,0.0935643853995316,-0.7964492232208045,-2.447925426959557,-1.730554542464688,-0.09827649905963654,-3.169863462747287,-1.897232402183647,-2.2436219627053333,-3.970763642423833,-1.7487726066862024,-3.657733446850443,-1.7738415478085017,-1.7194417469356722,-2.466337248642162,-2.8475120018039206,-2.206440761332942,-3.340138764516496,-1.279536064522631,-0.4792340820528125,-0.7811505351739356
1989,0.0,-2.2881864282639413,-1.6612381937390523,-0.02186724292357667,-0.5595421954944868,-3.4458299075780587,-4.478481758556086,-2.43030501117164,-1.4705633419375772,-0.12602422590470042,-3.149683341079026,-1.8925854661626431,-1.9037537274649026,-3.734822146953661,-1.850761249481934,-3.6504829966215198,-1.3998948390581063,-1.6213679666292364,-2.5634765002705535,-2.744548275006025,-2.0386725013123623,-3.855379925817317,-2.32302819152477,-1.7937547738849275,-0.06552684540002929,-0.6509769922704436,-2.5222468673593994,-1.5254079011543809,-0.15856992885829868,-3.1873490379001623,-1.9549457107418107,-2.0030108328937217,-3.861662119942082,-1.901032870296035,-3.7485672934092804,-1.5738782585498825,-1.670458175024521,-2.6671425588362467,-2.8467106371850264,-2.0736239571568262,-3.8687049537953158,-1.1866936636518517,-0.5670320985045123,-0.7355680656810364
1990,0.0,-2.3087883697191955,-1.722729945254173,-0.12859823751853128,-0.6174829218098239,-3.3161047965706416,-4.545629132557167,-2.360607638667318,-1.5061644656482827,-0.17313811716036298,-3.105478535708869,-1.9222561773147504,-1.8718384666469206,-3.9076089488989965,-1.7950590813615008,-3.5255392072309064,-1.4899463153916486,-1.549320067633289,-2.628533133171345,-2.6003100269186916,-2.000916015528844,-3.6789512474486514,-2.3564862237710713,-1.8354305015063233,-0.17240720087147565,-0.709595541462761,-2.44684488549791,-1.5632036329546963,-0.20367596286155276,-3.1452948513378374,-1.9723022814895899,-1.9674499340669058,-4.032828816019901,-1.8859929372536612,-3.6659732727258643,-1.6067753813497347,-1.603383122784635,-2.7132877311606194,-2.71801504295604,-2.03924818330961,-3.719764828864413,-1.1525140009823645,-0.671800632344457,-0.7296710009566141
