year,ref,rcp45_0,rcp45_1,rcp45_2,rcp45_3,rcp45_4,rcp45_5,rcp45_6,rcp45_7,rcp45_8,rcp45_9,rcp45_10,rcp45_11,rcp45_12,rcp45_13,rcp45_14,rcp45_15,rcp45_16,rcp45_17,rcp45_18,rcp85_0,rcp85_1,rcp85_2,rcp85_3,rcp85_4,rcp85_5,rcp85_6,rcp85_7,rcp85_8,rcp85_9,rcp85_10,rcp85_11,rcp85_12,rcp85_13,rcp85_14,rcp85_15,rcp85_16,rcp85_17,rcp85_18,rcp85_19,rcp85_20,rcp85_21
1981,0.0,-361.71624021276665,-473.2695071976234,-229.29638421375486,-433.0967900974281,-43.2372337130455,-24.132185060496226,-126.63712372555494,-221.22889356080077,-234.37908977615461,23.391839978212033,-84.00590256971373,-49.34034467575054,11.874658477628373,-66.8534564997575,1.4791674104881167,-78.83126598632225,5.346929472887382,-99.4045599929018,-83.13068743059284,-368.36866224416184,-443.9750232709189,-219.83043281547427,-431.4548569001132,-26.89968958242423,-15.798498043563313,-120.98695027616259,-217.7255085202146,-220.8824897982388,27.983288593771704,-82.07755082257984,-55.310295320578916,17.437584475528638,-62.09399439726337,10.729372100402884,-77.16358288081165,8.53303432407381,-91.14069567753313,-105.35836469641708,-117.04705955432087,-81.84904450312467,-147.45886194260515
1982,0.0,-374.74217811137765,-399.4604980216149,-252.27758250690067,-484.1454185702123,-70.7257123037133,-27.330641922946143,-127.51817139946183,-154.31701977354874,-369.99075603192705,-53.274166808524114,-75.64853771672324,-72.68226576125778,4.535501363635035,-32.76730032755472,7.890283890188584,-102.34191271977227,-45.80485646511113,-91.1366185829612,-96.40752862833597,-382.4847811265532,-384.87333593149816,-245.66817352877,-496.77681350341345,-50.764610214343975,-20.381742563604575,-119.24577752887797,-149.25895850987877,-353.26317797055606,-46.807096754719055,-79.5950888832923,-71.92297836217028,13.06498712381483,-26.302543704074083,19.25800979918506,-102.41401069957635,-35.422642579779335,-76.56515830237743,-99.04874429083975,-146.04631014847678,-99.39390875952245,-260.82425923723645
1983,0.0,-370.3234692213027,-451.75363804519736,-265.03607643662576,-475.0046565476258,-65.93508940154004,-45.23943862409112,-153.66650140432853,-159.9698855559045,-260.2909786037482,-29.29107520949549,-83.73955330583726,-89.26163078086267,-61.370980509512606,-6.272412666770833,-4.360203825451663,-76.35342010036288,-11.581854683583742,-49.00895413641274,-133.11794881146932,-376.1445542493746,-420.65357113775167,-250.93630641316165,-474.5734071196648,-50.707715675537884,-37.83359279643298,-138.85749492281468,-153.1868930491827,-240.4990572135536,-19.045037591221558,-88.27164587657319,-90.00670370056741,-62.28172338166246,-1.9145987130801814,10.841549401010639,-67.48878740298642,-9.252555341049629,-30.498658797279404,-144.91006536927796,-152.0748971536657,-75.58377859493646,-194.94993717263037
1984,0.0,-367.8146037633058,-366.1073781702314,-177.05567851616777,-410.85678393351475,-14.912504819395963,-5.490344511065814,-165.51854857111937,-216.96390487281792,-277.9387352091889,-38.5827569995281,-57.60492734009915,-86.9266948073581,-50.58133136413005,-77.52773543449189,-9.556906694227223,-103.78123067029628,61.581594883471325,-62.69909735477813,-95.91484425296551,-373.53352748159415,-335.18519706658935,-172.37232302276126,-414.18698304215707,-7.652029164396708,-4.569005240776846,-142.4695532985097,-205.59953494960132,-256.64638557928873,-25.31116284101745,-59.83996584510976,-86.89313560793425,-47.65914623635797,-72.73029700738391,3.9423219377092664,-96.53840734987409,59.46295722548268,-41.86188985896581,-98.87586405803813,-133.22921274384873,-58.61387661336562,-171.590049221414
1985,0.0,-406.365950186251,-369.1487794259832,-256.74478653762213,-420.56032006926944,-70.46818705055193,-21.826241298811965,-137.6590132335815,-178.06975237617428,-203.44720374897526,-31.766349685855175,-88.15962065704457,-65.01408291660368,-101.25293445175703,-24.23630133044537,31.459175181690966,-69.94448490494051,-1.8630831503978698,-116.13959471143755,-99.73355226832257,-409.5342041730205,-342.5104770109739,-250.44362278756768,-414.85289662249306,-55.945918477206305,-14.531752486128084,-122.6771092088785,-173.5577432566289,-190.69077519712653,-19.669147319088097,-92.51741445602283,-58.512518555673296,-107.11632323535878,-22.8543006147371,46.2417633050826,-57.87049243608408,1.5253685228159384,-101.84760561558733,-105.32252834125825,-146.10906130335582,-76.82377339258971,-191.00650567444848
1986,0.0,-456.8753643566881,-468.10904942565537,-262.1271920966811,-428.89521079072244,-119.26175543767204,-19.28789962184476,-173.32555865024938,-184.46776130961166,-338.1753897259279,-26.15440934165315,-62.39321098942503,-89.52329388835324,-120.15782994683298,-54.00066231658252,48.372184639557986,-77.94416697223346,7.4869268406001765,-103.22820982506585,-85.49289562805461,-453.3091401166131,-434.0117343130047,-256.93544340144655,-423.587770593218,-101.10818250384966,-11.43708301342167,-155.28617794604327,-177.90579631821515,-319.95842178749643,-17.82863525783148,-66.05114172041567,-83.99701870870615,-116.16487673840186,-51.06112726474055,51.67159091811129,-68.61443801551889,15.205451340224386,-90.30334992397866,-92.65504215401938,-160.43787584836264,-58.99250557231903,-163.21276928006887
1987,0.0,-498.81854720558385,-419.1288427597104,-314.998271944569,-414.80762902457684,-77.89144749894956,-17.726714151727947,-146.59857226226222,-184.20027399442301,-276.6625475917772,-2.2279504790195688,-62.6512199857915,-62.70802179332793,-67.14091797206584,-17.837849061398856,0.8745322076455295,-57.667059991173346,-40.64874537100468,-49.470995679113344,-85.78457151209273,-493.17493883176326,-365.5879623749609,-304.89880315911506,-412.42397159671225,-59.73857918112367,-13.977405549492232,-123.88922087877506,-184.46138437587126,-256.3616583641282,1.3659014528353737,-71.70837105133592,-61.159871091074024,-48.7248068760216,-16.753087040739274,4.739474943314917,-44.19992266732902,-35.3934772711425,-24.765421164584836,-98.63276553249489,-120.75778894569339,-69.74277187171572,-191.5121440506764
1988,0.0,-469.9298350792095,-365.4581971815786,-385.4061217385606,-410.3408954015997,-84.27744792330486,-16.581502655179293,-105.27723534243614,-164.00718054273045,-326.35953542395225,-37.33422250424735,-121.00742737249334,-90.79628719987579,-53.38196786442688,-73.0401522056186,-54.45465468851569,-61.36512234142788,-17.951298657929897,-125.50022330862146,-54.464885589331175,-472.35631382293855,-337.5775018305685,-376.8193447977965,-409.3777487294632,-58.88465175140493,-12.9515453982998,-92.36468145348385,-151.79644400942504,-300.26952174100575,-28.653800783845895,-125.98963997570354,-93.02781502726384,-51.312690753310676,-67.98460467360019,-46.266596812830585,-46.84122457837873,-15.283850721015483,-102.43444207189873,-65.29775772639368,-158.0039094599705,-65.19263434948004,-192.04497648246456
1989,0.0,-383.40231464112526,-373.5808917355396,-302.8376825486925,-423.8618278149762,-41.036177418754505,-15.803222324047738,-134.44242333182888,-187.5052726422159,-347.76252208869755,-29.76493156429615,-98.68232053859697,-77.78476338150949,-53.00828380129201,-24.85306251148006,40.39337963908292,-101.78196854109683,0.8459729937092106,-53.09978078155257,-106.62220324011196,-384.8591545695,-319.971229380536,-292.90800919796226,-414.87574223533795,-28.22234446970583,-8.63158370940505,-122.06489382243728,-179.16668807064298,-322.5047087866701,-24.81351232712666,-106.26013202591639,-79.11681850086529,-56.509645342680074,-21.889189101815305,48.575464195903805,-86.29653009809135,3.9661784870700103,-30.836404052448984,-112.02009672409986,-132.29744633277778,-69.75990248226458,-165.14018698316545
1990,0.0,-405.14947537497824,-320.31608081449434,-263.526039298697,-348.26686046621006,-109.13247053610996,-17.208959632851588,-99.7981331654687,-172.7588454256071,-377.41567684153546,-60.9612155714766,-90.74054672045679,-71.12196480283183,-73.32852082080149,-33.94893292333916,-34.192855789514624,-105.15341149299991,-57.718377293450544,-85.03885501042862,-25.020401182302294,-408.0928297297597,-299.91405350777615,-257.9102443155268,-332.2054719713536,-77.87081144339129,-10.550190318263276,-84.81418330662382,-159.75727603176608,-362.00121370537676,-53.15035152024575,-100.60285806871127,-69.23514071390775,-54.237063525483336,-32.38868129803052,-24.800646722622787,-107.81975545465116,-51.140877561544016,-75.02989940905093,-36.03213670916591,-116.2233121704752,-73.59702262789915,-269.8767565164171
